SYMBOL,NAME OF COMPANY
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
AMBUJACEM,Ambuja Cements Limited
ASIANPAINT,Asian Paints Limited
AXISBANK,Axis Bank Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJFINANCE,Bajaj Finance Limited
BHARTIARTL,Bharti Airtel Limited
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries Limited
CIPLA,Cipla Limited
COALINDIA,Coal India Limited
DIVISLAB,Divi's Laboratories Limited
DRREDDY,Dr. Reddy's Laboratories Limited
EICHERMOT,Eicher Motors Limited
GRASIM,Grasim Industries Limited
HCLTECH,HCL Technologies Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HEROMOTOCO,Hero MotoCorp Limited
HINDALCO,Hindalco Industries Limited
HINDUNILVR,Hindustan Unilever Limited
ICICIBANK,ICICI Bank Limited
INDUSINDBK,IndusInd Bank Limited
INFY,Infosys Limited
ITC,ITC Limited
JSWSTEEL,JSW Steel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
LT,Larsen & Toubro Limited
M&M,Mahindra & Mahindra Limited
MARUTI,Maruti Suzuki India Limited
NESTLEIND,Nestle India Limited
NTPC,NTPC Limited
ONGC,Oil & Natural Gas Corporation Limited
POWERGRID,Power Grid Corporation of India Limited
RELIANCE,Reliance Industries Limited
SBILIFE,SBI Life Insurance Company Limited
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAMOTORS,Tata Motors Limited
TATASTEEL,Tata Steel Limited
TCS,Tata Consultancy Services Limited
TECHM,Tech Mahindra Limited
TITAN,Titan Company Limited
ULTRACEMCO,UltraTech Cement Limited
UPL,UPL Limited
WIPRO,Wipro Limited
